gene_id	module
FBgn0004687	turquoise
FBgn0004698	blue
FBgn0004780	turquoise
FBgn0004781	turquoise
FBgn0004795	turquoise
FBgn0004828	brown
FBgn0004837	blue
FBgn0004842	yellow
FBgn0004852	turquoise
FBgn0004858	red
FBgn0004859	turquoise
FBgn0004861	turquoise
FBgn0004864	yellow
FBgn0004865	turquoise
FBgn0004867	brown
FBgn0004875	blue
FBgn0004876	blue
FBgn0004878	turquoise
FBgn0004880	blue
FBgn0004885	turquoise
FBgn0004888	turquoise
FBgn0004889	green
FBgn0004893	brown
FBgn0004897	blue
FBgn0004903	blue
FBgn0004907	turquoise
FBgn0004908	blue
FBgn0004913	yellow
FBgn0004914	turquoise
FBgn0004915	blue
FBgn0004919	red
FBgn0004921	red
FBgn0004956	turquoise
FBgn0005198	yellow
FBgn0005278	brown
FBgn0005322	blue
FBgn0005386	yellow
FBgn0005391	grey
FBgn0005427	red
FBgn0005533	brown
FBgn0005561	yellow
FBgn0005586	turquoise
FBgn0005593	brown
FBgn0005596	yellow
FBgn0005617	green
FBgn0005624	blue
FBgn0005626	green
FBgn0005631	blue
FBgn0005632	yellow
FBgn0005636	turquoise
FBgn0005642	blue
FBgn0005648	blue
FBgn0005649	green
FBgn0005658	grey
FBgn0005659	blue
FBgn0005666	turquoise
FBgn0005671	turquoise
FBgn0005672	blue
FBgn0005674	green
FBgn0005677	blue
FBgn0005683	blue
FBgn0005696	blue
FBgn0005771	red
FBgn0005775	green
FBgn0005777	blue
FBgn0005778	blue
FBgn0005779	blue
FBgn0008636	turquoise
FBgn0010015	blue
FBgn0010019	grey
FBgn0010038	blue
FBgn0010039	turquoise
FBgn0010040	turquoise
FBgn0010041	green
FBgn0010051	turquoise
FBgn0010052	turquoise
FBgn0010053	turquoise
FBgn0010078	brown
FBgn0010100	turquoise
FBgn0010113	brown
FBgn0010114	yellow
FBgn0010173	blue
FBgn0010194	blue
FBgn0010198	brown
FBgn0010215	red
FBgn0010217	turquoise
FBgn0010222	turquoise
FBgn0010223	blue
FBgn0010225	brown
FBgn0010228	brown
FBgn0010238	grey
FBgn0010246	turquoise
FBgn0010247	yellow
FBgn0010258	blue
FBgn0010263	turquoise
FBgn0010265	brown
FBgn0010288	turquoise
FBgn0010309	yellow
FBgn0010314	green
FBgn0010316	blue
FBgn0010323	brown
FBgn0010329	turquoise
FBgn0010342	brown
FBgn0010350	blue
FBgn0010355	blue
FBgn0010357	grey
FBgn0010382	blue
FBgn0010385	red
FBgn0010387	turquoise
FBgn0010388	grey
FBgn0010389	turquoise
FBgn0010399	yellow
FBgn0010408	blue
FBgn0010409	brown
FBgn0010411	brown
FBgn0010412	brown
